ID;ITEMCODE;ITEMNAME;UNITPRICE;CATEGORY1;CATEGORY2;CATEGORY3;CATEGORY4;BRAND
11531;11713;P.BA.CEM 28 NO KARNIYARIK;37,58;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TAVA;PASA BAHCE
11532;11714;P.BA.FANTAZI MELAMIN KAYIK NO 2;1,5;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;PLASTIK TEPSI;PASA BAHCE
11533;11715;P.BA.INTER 24/6 NO TAVA;44,57;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TAVA;PASA BAHCE
11534;11717;P.BA.AKEM 20/9 TENCERE;35,08;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TENCERE;PASA BAHCE
11535;11718;KIRTA.PELIN OKUL CANTASI W04-553;1,23;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11536;11719;KIRTA.SAYGI ORTAOGRETIM ATLASI;1;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11537;11720;P.BA.AKEM 30/7 KARN. TAVA;37,7;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TAVA;PASA BAHCE
11538;11721;BAY.SEK.ELIT KARAMEL DOLG. SUTLU CIK.;52,72;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;ELIT
11539;11726;ELB.DOMATES SALKIM;4,74;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
11540;11727;MUDURNU SOKLU TAB. DER.OZEL KALCA;12,8;KUMES;PILIC;KUMES HAYVANLARI;PARCA BUT;MUDURNU
11541;11728;NERGIS SUCUK KASAP ACILI KG.;81,43;ET;ISLENMIS ET;SUCUK;DANA SUCUK;NERGIS
11542;11735;NEF.26.ANTEP FISTIGI 1 KG;44,87;GIDA;BISKUVI-CEREZ;KURUYEMIS;DIGER KURUYEMIS;NEFISO
11543;11739;BAY.SEK.ELIT FIGARO KG;98,28;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;ELIT
11544;11740;DOMATES SALKIM- 2 ;5,86;SEBZE;MANAV;MANAV;SEBZELER;BIBER
11545;11741;G.BIBER CARLI;1,19;SEBZE;MANAV;MANAV;SEBZELER;BIBER
11546;11742;GOLBASI ELMA STAR;1,9;MEYVE;MANAV;MANAV;MEYVELER;ELMA
11547;11744;GOLBASI MANDALINA KING;1,05;MEYVE;MANAV;MANAV;MEYVELER;MANDALINA
11548;11746;NIVEA DEO 150 ML.BAYAN FRESH FLOWER;16,68;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11549;11747;OYUNCAK DISNEYLAND TOP;0,77;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11550;11748;BEBELAC 250 GR SUT BALLI IRMIK ;14,34;BEBEK;HAZIR YEMEK-MAMA;HAZIR COCUK YEMEKLERI;HAZIR MAMALAR;BEBELAC
11551;11751;TAFT KOPUK ULTRA GUCLU 150 ML;21,22;KOZMETIK;SAC BAKIM;SAC SEKILLENDIRICILER;KOPUK;TAFT
11552;11753;PALETTE DELUXE 7-65 ALTIN PARILTILI TOFFEE;15,64;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;PALETTE
11553;11754;PALETTE DELUXE  9-50 ;22,64;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;PALETTE
11554;11755;GLISS SCHWARZKOPF 300 ML SAC MASKESI;35,88;KOZMETIK;DUS-BANYO;SAMPUANLAR;SAC KREMLERI;GLISS
11555;11761;PRIMA A.BABY DEV JUNIOR PLUS 48 LI *2*;49,61;BEBEK;BEBE MALZEMELERI;COCUK BEZLERI;STANDART PAKET;PRIMA
11556;11762;PRIMA ISLAK HAVLU 52'LI SENSITIVE *12*;11,07;KAGIT;ISLAK MENDIL-HAVLULAR;ISLAK HAVLU;BEYAZ;PRIMA
11557;11763;PRIMA PANTS TEKLI PK.JUNIOR 18'LI *4*;43,08;BEBEK;BEBE MALZEMELERI;COCUK BEZLERI;STANDART PAKET;PRIMA
11558;11764;PRIMA PANTS TEKLI PAKET MIDI 26'LI *3*;43,08;BEBEK;BEBE MALZEMELERI;COCUK BEZLERI;STANDART PAKET;PRIMA
11559;11765;PRIMA YENI BEBEK 2 NUMARA 3-6 KG 40 ADET;34,68;BEBEK;BEBE MALZEMELERI;COCUK BEZLERI;STANDART PAKET;PRIMA
11560;11766;FAIRY SIVI 960 ML PLATINUM ORJINAL *10*;6,98;DETERJAN;ELDE YIKAMA URUNLERI;SIVI DETERJAN;SIVI;FAIRY
11561;11767;FEBREZE ARABA BAHAR CICEKLERI;23,94;TEMIZLIK;KOKULAR;ODA KOKULARI;OTO;FEBREZE
11562;11768;BLENDAX 550 ML Y.CAY&S.KANTARON*12*;15,48;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;BLENDAX
11563;11769;KOLES.SET BOYA  8/74 GIZEMLI KAHVE;29,88;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;KOLESTON
11564;11770;KOLES.SET BOYA  5/1 ACIK KULLU KAH;22,31;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;KOLESTON
11565;11771;KOLES.NAT. 5/37 ORTA KESTANE;17,88;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;KOLESTON
11566;11772;KUM  KALEMTRAS 1053021;0,28;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11567;11773;CAPPY ATOM MEYVE NEKTARI 200 ML;1,63;SOGUK ICECEKLER;GAZSIZ ICECEK;MEYVE SUYU;KARISIKLAR;CAPPY
11568;11775;SEBAMED SUN 45 LOTION 150 ML PF;80,85;KOZMETIK;KISISEL BAKIM;CILT BAKIM;GUNES KREMLERI;SEBAMED
11569;11776;SEBAMED SUN 45 KREM 75 ML;74,72;KOZMETIK;KISISEL BAKIM;CILT BAKIM;GUNES KREMLERI;SEBAMED
11570;11779;DEO 8X4 ROLL-ON MAXIMUM 50ML ERK;8;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;8X4
11571;11780;DEO NIVEA ROLL-ON SILVER PROTCT 50ML ERK;16,68;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11572;11782;UZUM 6 NO KAVURMA SACI;32,39;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TAVA;UZUM
11573;11783;OYUNCAK KRT. BALIK OYUNU   ;49,5;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11574;11786;MIKRO MAKAS;60,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11575;11788;POD DELGEÇ 01;10,8;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11576;11790;OYUNCAK ATESLENEN IGNE OLAN BEB 41 CM;190,68;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11577;11791;OYUNCAK KUTU PILLI FIRINLI DOLAPLI;73,44;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11578;11792;BULUT LOKUM FINDIKLI KG;17,94;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER GELENEKSEL;LOKUM;BULUT
11579;11795;JUDY MOODY GELIYOR;4;EV;KITAP-DERGI-KIRTASIYE;KITAP;KITAPLAR;KITAPLAR
11580;11796;JUDY MOODY DUNYAYI KURTARIYOR;3,59;EV;KITAP-DERGI-KIRTASIYE;KITAP;KITAPLAR;KITAPLAR
11581;11797;WINX CLUB DORT AYAKLI SEVIMLI;5,9;EV;KITAP-DERGI-KIRTASIYE;KITAP;KITAPLAR;KITAPLAR
11582;11798;WINX CLUB UZMANLAR VE YAVRU;5,9;EV;KITAP-DERGI-KIRTASIYE;KITAP;KITAPLAR;KITAPLAR
11583;11802;NEF.39 KURU UZUM BESNI 1 KG;19,08;GIDA;BISKUVI-CEREZ;KURUYEMIS;DIGER KURUYEMIS;NEFISO
11584;11812;BAHARAT KARTON KUTU BUYUK(KG);0;SARF;SARF;SARF;SARF;SARF
11585;11814;ORAL B D.FIR.CLAS.ORTA 3 'LU ;4,75;KOZMETIK;AGIZ BAKIM;DIS FIRCALARI-IPLER;FIRCALAR;ORAL B
11586;11815;GILLETTE BLUE II REGULAR 10'LU POS.;11,22;KOZMETIK;YUZ BAKIM;TIRAS MALZEMELERI;KULLAN AT BICAKLAR;GILLETTE
11587;11817;BARBİE SEF SET 11 ;20,16;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11588;11818;KALEMTRAŞ TRAKTÖR MODEL  ;3,9;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11589;11822;PIL PANASONIC MANG.ORTA 2'LI;2,1;EV;ELEKTRIK-ELEKTRONIK;PIL;PIL CINKO KARBON;PANASONIC
11590;11823;UNI BALL 4B 177-KIRMIZI ;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11591;11824;UNI BALL 4B 200-KIRMIZI ;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11592;11825;IGLO SEBZE FINGERS 284 GR*12*;8,35;GIDA;DONUK URUNLER;DONDURULMUS GIDA;FINGER;IGLO
11593;11826;IGLO TATLI MISIR 450GR *20*  ;7,63;GIDA;DONUK URUNLER;DONDURULMUS GIDA;MISIR;IGLO
11594;11827;IGLO ISPANAK 450GR *10* ;6,19;GIDA;DONUK URUNLER;DONDURULMUS GIDA;ISPANAK;IGLO
11595;11829;PANTENE 400 ML 2+1 EXTRA DOLGUN*6*;4,75;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMLI SAMPUANLAR;PANTENE
11596;11830;PANTENE 700 ML AQUA LIGHT *6*;13,75;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;PANTENE
11597;11831;PANTENE 700 ML 2+1 CANLI RENKLER*6*;13,58;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMLI SAMPUANLAR;PANTENE
11598;11832;COLGATE D.FIR.TWISTER *12*;6,1;KOZMETIK;AGIZ BAKIM;DIS FIRCALARI-IPLER;FIRCALAR;COLGATE
11599;11833;DURACELL AA KALEM 4'LU *20*;17,41;EV;ELEKTRIK-ELEKTRONIK;PIL;PIL ALKALIN;DURACELL
11600;11834;IPANA D.MAC. 75 ML 3BB LUX G.KAM.*24*;14,49;KOZMETIK;AGIZ BAKIM;DIS MACUNLARI;MACUNLAR;IPANA
11601;11835;H&SHOULDERS 700 ML LIM.TAZ.*6*;18,19;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;H&SHOULDERS
11602;11836;PANTENE 360 ML  KREM ONARICI BAKIM*6*;14,28;KOZMETIK;DUS-BANYO;SAMPUANLAR;SAC KREMLERI;PANTENE
11603;11837;BLENDAX 700 ML BAL OZLU*6*;10,3;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;BLENDAX
11604;11838;IPANA D.MAC. 50 ML BYZ NANE FER.*60*;8,64;KOZMETIK;AGIZ BAKIM;DIS MACUNLARI;MACUNLAR;IPANA
11605;11843;DEO REXONA BAY SENSITIVE PUDRALI 175ML;10,19;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;REXONA
11606;11844;NFC AQUA SENSATION YUZ TEMIZLEME JELI;38,01;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;NIVEA
11607;11850;DEO NIVEA SPREY STRESS PROTECT 150ML KDN;13,08;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11608;11852;DEO 8X4 SPREY ACTIVE 150 ML;7,41;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;8X4
11609;11854;NDEO SPREY INV B&W PURE 150 ML KDN;14,92;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11610;11856;NDEO SPREY INVISIBLE 150 ML KADIN;16,03;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11611;11857;NSUN HAS.GUNS SPR.ALERJI K. GKF 50 200 ML;100,68;KOZMETIK;KISISEL BAKIM;CILT BAKIM;GUNES KREMLERI;NIVEA
11612;11861;PIL VARTA 4906-2 ALK.-AA-KALEM PIL 2'LI*20*;10,14;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;VARTA
11613;11863;PUZZLE 100 PARCA FROZEN;28,02;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11614;11864;PUZZLE 100 PARCA BARBIE-PRENSES;36,3;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11615;11865;PUZZLE 60 PARCA MICKEY VE MINNIE;28,68;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11616;11866;PUZZLE 30 PARCA  CARS;28,68;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11617;11867;ARBELLA MAK.400 GR GLU.ARPA SEHRIYE *24*;9,48;GIDA;BAKLIYAT-MAKARNA;MAKARNA;SEHRIYE;ARBELLA
11618;11868;DOMESTOS C.SUYU 806 GR LIMON.FERAH *20*;6,41;DETERJAN;CAMASIR YIKAMA;CAMASIR SULARI;ULTRA;DOMESTOS
11619;11869;PALM DUS JELI 250 ML ANTI STRESS*12*;10,44;KOZMETIK;DUS-BANYO;VUCUT SAMPUANLARI;DUS JELI;PALM
11620;11872;GULSOY TERLIK COCUK NORMAL;5,04;EV;TEKSTIL-GIYIM-AKSESUAR;AYAKKABI-TERLIK;AYAK GIYIM;GULSOY
11621;11873;P.BA.TERMOS CELIK 3.5 LT;40,9;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TERMOS;PASA BAHCE
11622;11876;P.BA.FANTAZI ITHAL AYAKLI FINCAN;11,32;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;DIGER KAHVE TAKIMLARI;PASA BAHCE
11623;11877;P.BA.INTER CELIK CAY TABAGI TK;17,78;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;METAL ALTLIKLAR;PASA BAHCE
11624;11878;DR.OET.PUD.CI.FIN.+KAKAO.2+1 HEDIYELI;1,44;GIDA;UNLU MAMUL-TATLI;PASTA MALZEMELERI;PUDING;DROETKER
11625;11880;P.BA.TERMOS CELIK 2 LT;13,71;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TERMOS;PASA BAHCE
11626;11883;SARF  2 NOLU NAYLON TORBA *25 KG*;1,98;SARF;SARF;SARF;SARF;SARF
11627;11884;SARF  10 NOLU NAYLON TORBA 20 KG;2,65;SARF;SARF;SARF;SARF;SARF
11628;11885;SARF SERA 30*300M.;7,8;SARF;SARF;SARF;SARF;SARF
11629;11886;SARF Y.PASTA KUTUSU 2 N.TURTA *100*;0,36;SARF;SARF;SARF;SARF;SARF
11630;11887;BAY.SEK.SOLEN BUTIK BON.KAHV.;16,21;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;SOLEN
11631;11888;BAY.SEK.MABEL NAPOLITEN CIKOLATA 3 KG;19,56;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;MABEL
11632;11889;BAY.SEK.SOLEN MILANGO A.FISTIKLI KG;73,3;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;SOLEN
11633;11890;BAY.SEK.ELIT CILEK DOLGULU ;23,88;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;ELIT
11634;11891;BAY.SEK.KENT CIKOLIN KG.;23,94;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;YUMUSAK SEKER;KENT
11635;11892;BAY.SEK.ULKER CIKOLATIN 1KG *1*;63,3;SEKERLEME;SAKIZ-SEKERLEME;SEKERLEMELER BAYRAMLIK;IKRAMLIK SEKERLEME;ULKER
11636;11897;ELB.BIBER SIVRI;4,14;SEBZE;MANAV;MANAV;SEBZELER;BIBER
11637;11899;MUDURNU SOKLU TAB. BAGET;13,5;KUMES;PILIC;KUMES HAYVANLARI;PARCA BAGET;MUDURNU
11638;11901;NERGIS KASAP SUCUK AZ ACILI AZ BAHARATLI;32,3;ET;ISLENMIS ET;SUCUK;DANA SUCUK;NERGIS
11639;11902;ELB.ELMA STAR;3,48;MEYVE;MANAV;MANAV;MEYVELER;ELMA
11640;11904;ELB.PORTAKAL VALENCIA;9,36;MEYVE;MANAV;MANAV;MEYVELER;PORTAKAL
11641;11905;HAKKATAPAN PEYNIR VAKUMLU PASTOR.KOY;21,6;KAHVALTILIK;SUT-YOGURT-PEYNIR;PEYNIRLER;KOY PEYNIRLERI;HAKKATAPAN
11642;11912;KART.5113 POLIS SETI;1,44;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11643;11913;BYK METROBUS;11,76;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11644;11914;VAKUMDA ITFAIYE;4,27;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11645;11915;IGLO EGE CIPURA 200GR *10* ;16,14;GIDA;DONUK URUNLER;DONDURULMUS GIDA;CIPURA;IGLO
11646;11916;IGLO SARMAL T.BOREGI 800 GR *6* ;15,7;GIDA;DONUK URUNLER;DONDURULMUS GIDA;SARMAL;IGLO
11647;11917;H&SHOULDERS 700 ML KLASIK BK.2/1 *6*;17,16;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMLI SAMPUANLAR;H&SHOULDERS
11648;11918;DURACELL TURBO KALEM 4+2'LI AA;7,99;EV;ELEKTRIK-ELEKTRONIK;PIL;PIL ALKALIN;DURACELL
11649;11919;DURACELL 9 VOLT 1 LI;11,96;EV;ELEKTRIK-ELEKTRONIK;PIL;PIL CINKO KARBON;DURACELL
11650;11920;DURACELL SARJLI AA KALEM 1300 2LI;32,28;EV;ELEKTRIK-ELEKTRONIK;PIL;SARJLI PIL;DURACELL
11651;11923;BLENDAX 700 ML NEM DENG.ALOE VERA *6*;9;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;BLENDAX
11652;11924;IPANA D.MAC.75 ML SENS*24*;10,53;KOZMETIK;AGIZ BAKIM;DIS MACUNLARI;MACUNLAR;IPANA
11653;11925;BLENDAX 400 ML 2/1MEN.SERIN.*6*;6,48;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMLI SAMPUANLAR;BLENDAX
11654;11926;PANTENE 700 ML DOGAL SENTEZ*6*;14,38;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;PANTENE
11655;11927;KOSLA  400 ML OXI  ACTION *6*;26,28;DETERJAN;CAMASIR YIKAMA;TOZ LEKE CIKARICI;TOZ ;KOSLA
11656;11928;NESCAFE CAPPICINO 10,6 GR SKRSZ.*18*;0,77;SICAK ICECEKLER;GUNLUK ICECEK;KAHVE;CAPPUCCINO VE ESPRESSO;NESCAFE
11657;11930;KIRTA.FANTASIA 24 RENK K.BOYA TUP;9,39;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11658;11931;FANTASIA KIRMIZI KALEM TEKLI ;1,8;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11659;11932;ULKER 2710-1 SPECIAL MEYVELI 250 GR*10*;5,34;KAHVALTILIK;KAHVALTILIK GEVREK;KAHVALTILIK GEVREK-MUSLI;MUSLI;ULKER
11660;11933;P.BA.COOKER KUPA;4,82;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;CAM KUPA;PASA BAHCE
11661;11935;DEO NIVEA 150 ML.MEN DRY IMPACT PLUS;13,08;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11662;11937;NFC YUZ TEMIZLEME KOPUGU K/H 150ML;20,85;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;NIVEA
11663;11938;NIVEA BAKIM KREMI 300 ML GUL *12*;29,08;KOZMETIK;VUCUT-EL BAKIM;KREMLER;VUCUT-EL KREMLERI;NIVEA
11664;11939;NIVEA MCLLR GOZ.MAK.TEM.1+1 250 ML SET;35,88;KOZMETIK;KISISEL BAKIM;CILT BAKIM;KREMLER;NIVEA
11665;11940;KINDER CHOCOLATE MAXI 21 GR *36*;2,1;SEKERLEME;CIKOLATA-GOFRET;CIKOLATA;BATON CIKOLATA;KINDER
11666;11941;PIL VARTA 4903-2 ALK-AAA- INCE 2'LI *10*;10,14;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;VARTA
11667;11942;PELIKAN AL20 SILGI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11668;11943;TAFT KOPUK ULTRA ULTRA GUCLU EXT.HACIM;21,3;KOZMETIK;SAC BAKIM;SAC SEKILLENDIRICILER;KOPUK;TAFT
11669;11949;PALETTE DELUXE 4-68 KOYU KESTANE ;20,94;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;PALETTE
11670;11950;PALETTE DELUX BLOND UIL Y.RENK ACICI;20,94;KOZMETIK;SAC BAKIM;SAC BOYALARI;KIT BOYALAR;PALETTE
11671;11954;PRIMA ISLAK HAVLU 3X52 FRESH *3*;19,98;KAGIT;ISLAK MENDIL-HAVLULAR;ISLAK HAVLU;BEYAZ;PRIMA
11672;11957;TERLIK BEBE AYAKKABISI;17,22;EV;TEKSTIL-GIYIM-AKSESUAR;AYAKKABI-TERLIK;AYAK GIYIM;GEZER
11673;11958;SARF RAF ETIKETI 600'LU (TSC)x132x;3,24;SARF;SARF;SARF;SARF;SARF
11674;11966;KIRTA.TICON YUVARLAK KALEMTRAS;0,98;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11675;11976;HAYAT SU 19 LT ;10,35;SOGUK ICECEKLER;GAZSIZ ICECEK;SU;SADE;HAYAT
11676;11979;KAF.DOGADAN NAR CILEK;0;CAY-KAHVE-SEKER;GAZSIZ ICECEK;CAY;BITKISEL;DOGADAN
11677;11980;KAF.NESCAFE 3 IN 1 18 GR BOL KREMALI;0;SICAK ICECEKLER;GUNLUK ICECEK;KAHVE;KARISIMLI KAHVELER;NESCAFE
11678;11982;SEBAMED CLEAR FACE BAKIM JELI 50 ml;52,47;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;SEBAMED
11679;11983;SEBAMED CATLAK GIDERICI KREM 200 ML;68,24;KOZMETIK;KISISEL BAKIM;CILT BAKIM;KREMLER;SEBAMED
11680;11987;DEO NIVEA ROLL-ON DRY 50ML ERK;16,68;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;NIVEA
11681;11988;UZUM 3 NO KAVURMA SACI;23,88;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;TAVA;UZUM
11682;11990;MOR.AJ.GS TUKENMEZ KALEM;0,35;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11683;11991;NOT KAGIDI 5 RENK 12'LI PK;197,38;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11684;11993;CEKBIRAK COP KAMYON;5,43;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
11685;11995;ADEL BANT MAKINASI ;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11686;11998;OHTO ROLLER KALEM;3,74;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11687;11999;OHTO CANSE KALEM;4,2;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11688;12000;CASIO 820LV CEP HESAP MAKINASI;28,59;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11689;12001;ARLINE 507 TAHTA KALEMI;3,54;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11690;12002;IGLO GURME KARIDES 450GR *6* ;40,03;GIDA;DONUK URUNLER;DONDURULMUS GIDA;KARIDES;IGLO
11691;12003;IGLO AKDENIZ  LEVREK 200GR *10* ;23,33;GIDA;DONUK URUNLER;DONDURULMUS GIDA;LEVREK;IGLO
11692;12004;ELSEVE SAMP. 360 ML YIPRANMIŞ SACLAR *6*;19,08;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;ELSEVE
11693;12005;ELS. SAMP.520 ML HIND.CEV. BESL. *6*;24,47;KOZMETIK;DUS-BANYO;SAMPUANLAR;KREMSIZ SAMPUANLAR;ELSEVE
11694;12009;GARNIER EXFO YUZ FIRCASI;19,08;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;GARNIER 
11695;12014;GARNIER DEO SPREY 150 ML ULTRA KURU;14,47;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;GARNIER
11696;12017;DEO ADIDAS BAY 150 ML VICTORY LEAGUE FORCE;4,79;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;ADIDAS
11697;12022;EDDING TAHTA KLM. MUREKKEBI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
11698;12024;NIVEA LIP FRUITY SHINE CILEK;11,38;KOZMETIK;YUZ BAKIM;DUDAK KORUYUCULAR;DUDAK KREMI;NIVEA
11699;12025;DEO 8X4 SPREY UNITY 150ML UNISEX;9,48;KOZMETIK;PARFUM-DEODORANT;DEODORANTLAR;DEO;8X4
11700;12028;COLGATE D.MAC.100 ML MAX FR.*48*;14,26;KOZMETIK;AGIZ BAKIM;DIS MACUNLARI;MACUNLAR;COLGATE
11701;12031;ETI PUF RENKLI 18 GR.*48*;0,6;GIDA;BISKUVI-CEREZ;BISKUVI;KAPLAMALI;ETI
11702;12034;KIRTA.PRONTO S-901B VERSATIL 0,7;0,62;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
